trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar
2017-11-28,16.7218,16.8485,16.2826,16.3924,16.7387,178987.93,-0.3463000000000029,-2.0689,349435.053,16.323279749622678,16.053823273681722,0.2694564759409559,0.18426714722745866,0.17037865742699448
2017-11-29,16.4093,17.1863,16.0968,17.1356,16.3924,507030.43,0.7432000000000016,4.5338,1002370.922,16.448252095834572,16.13395488303863,0.31429721279594247,0.21027316034115545,0.20804810490957404
2017-11-30,17.0596,17.0596,16.232,16.4853,17.1356,343972.98,-0.6503000000000014,-3.795,678289.649,16.453951773398483,16.15998044725799,0.29397132614049326,0.22701279350102305,0.13391706527894043
2017-12-01,16.4769,16.6627,16.3164,16.4009,16.4853,234017.73,-0.0843999999999987,-0.512,456310.007,16.44578996210641,16.177826340053695,0.26796362205271507,0.23520295921136147,0.06552132568270719
2017-12-04,16.3586,16.4769,16.2151,16.2404,16.4009,157184.0,-0.1604999999999989,-0.9786,304586.585,16.41419150639773,16.182461425975642,0.2317300804220892,0.23450838345350705,-0.005556606062835701
2017-12-05,16.2404,16.4938,16.232,16.2826,16.2404,180264.88,0.0421999999999975,0.2598,349584.716,16.39394665925962,16.189879098125594,0.2040675611340248,0.22842021898961062,-0.04870531571117165
2017-12-06,16.2657,16.3417,15.8097,15.835,16.2826,289441.48,-0.4475999999999978,-2.7489,548844.382,16.30795486552737,16.163591757523697,0.1443631080036738,0.21160879679242325,-0.1344913775774989
2017-12-07,15.8266,16.1137,15.6154,15.6323,15.835,212835.24,-0.2027000000000001,-1.2801,398476.667,16.204007963138544,16.124236812521943,0.079771150616601,0.1852412675572588,-0.2109402338813156
2017-12-08,15.6323,15.9364,15.5901,15.8688,15.6323,146349.56,0.2364999999999995,1.5129,273674.077,16.152437507271074,16.105315567149947,0.04712194012112647,0.15761740207003236,-0.22099092389781178
2017-12-11,16.0462,16.1137,15.7168,15.8604,15.8688,139444.7,-0.0083999999999999,-0.0529,262160.101,16.1075086599986,16.08717367328699,0.02033498671161027,0.13016091899834795,-0.21965186457347535
2017-12-12,15.8772,16.0208,15.6239,15.6492,15.8604,125543.99,-0.2111999999999998,-1.3316,235064.007,16.03699963538343,16.054731178969433,-0.017731543586002374,0.10058242648147789,-0.23662794013496052
2017-12-13,15.6492,15.8266,15.6239,15.759,15.6492,86532.53,0.1097999999999999,0.7016,161055.396,15.994230460709058,16.03282516571244,-0.038594705003379914,0.07274700018450633,-0.2226834103757725
2017-12-14,15.8012,15.9279,15.7337,15.7675,15.759,114630.85,0.0084999999999997,0.0539,214570.497,15.959348851369203,16.01317144973374,-0.053822598364536844,0.0474330804746977,-0.2025113576784691
2017-12-15,15.8266,15.8266,15.5563,15.5986,15.7675,161540.21,-0.1689000000000007,-1.0712,299145.663,15.903849028081634,15.982462453457167,-0.07861342537553284,0.02222377930465159,-0.20167440936036887
2017-12-18,15.5817,15.759,15.5479,15.5986,15.5986,110876.94,0.0,0.0,205332.794,15.856887639145999,15.954028197645526,-0.09714055849952707,-0.0016490882561841433,-0.19098294048668585
2017-12-19,15.607,16.1137,15.607,15.9786,15.5986,158835.73,0.3800000000000008,2.4361,299373.397,15.875612617738922,15.955848331153264,-0.08023571341434277,-0.01736641328781587,-0.1257386002530538
2017-12-20,16.0039,16.063,15.7168,16.0293,15.9786,129234.3,0.050699999999999,0.3173,242420.882,15.899256830394473,15.961289195512283,-0.06203236511781007,-0.02629960365381471,-0.07146552292799073
2017-12-21,15.9448,16.6204,15.9195,16.4177,16.0293,302627.03,0.3884000000000007,2.4231,585749.293,15.979017318026091,15.995097403252114,-0.016080085226022334,-0.024255699968256234,0.0163512294844678
2017-12-22,16.3671,16.536,16.3164,16.3924,16.4177,107736.86,-0.0253000000000014,-0.1541,209390.179,16.042614653714384,16.024527225233438,0.018087428480946244,-0.01578707427841574,0.06774900551872397
2017-12-25,16.6373,17.0934,16.4515,16.4853,16.3924,366696.92,0.0929000000000002,0.5667,727397.971,16.110720091604477,16.058658541882814,0.05206154972166388,-0.0022173494783998167,0.10855779840012739
2017-12-26,16.5022,16.8147,16.4684,16.7302,16.4853,177512.83,0.2449000000000012,1.4856,351200.52,16.206024692896097,16.1084023535952,0.09762233930089792,0.01775058827745973,0.15974350204687637
2017-12-27,16.6458,16.7302,16.1728,16.2235,16.7302,168167.21,-0.5066999999999986,-3.0287,326061.421,16.208713201681313,16.11692810518074,0.09178509650057265,0.032557489922082315,0.11845521315698067
2017-12-28,16.308,16.6627,16.1391,16.5613,16.2235,212235.7,0.3377999999999979,2.0822,412471.154,16.26295732449957,16.149844541834018,0.11311278266555291,0.04866854847077644,0.12888846838955295
