trade_date,open,close,high,low,volume,vol,pre_close,change,pct_chg,amount,ma5,ma10,ma20,ma30,ma48
2016-10-20,29.89,29.8725,29.96,29.8463,127682.81,127682.81,29.855,0.0174999999999982,0.0586,436313.66,29.839260000000003,29.931130000000003,30.092570000000002,30.23036666666667,29.903562499999996
2016-10-21,29.855,29.9425,29.995,29.7938,280031.63,280031.63,29.8725,0.0700000000000002,0.2343,955961.7,29.858500000000003,29.936379999999996,30.08907,30.236159999999998,29.944154166666667
2016-10-24,29.9425,30.1788,30.4413,29.8813,420909.49,420909.49,29.9425,0.2362999999999999,0.7892,1451824.779,29.95476,29.92676,30.06807,30.24548,29.9880375
2016-10-25,30.24,30.2312,30.2925,30.1,239719.61,239719.61,30.1788,0.0524000000000022,0.1736,826719.816,30.016000000000002,29.941630000000004,30.054940000000006,30.242336666666667,30.02811875
2016-10-26,30.24,30.1175,30.31,30.0913,197377.03,197377.03,30.2312,-0.1137000000000014,-0.3761,680587.63,30.0685,29.95213,30.044,30.23242,30.06583125
2016-10-27,30.1175,29.9162,30.1263,29.8375,217643.26,217643.26,30.1175,-0.2012999999999998,-0.6684,744556.017,30.07724,29.95825,30.008125,30.20471,30.094820833333333
2016-10-28,30.1,30.2138,30.3887,30.065,325149.38,325149.38,29.9162,0.2975999999999992,0.9948,1123315.941,30.1315,29.995000000000005,29.992375,30.184880000000003,30.117504166666667
2016-10-31,30.1,30.2838,30.3187,29.925,234352.96,234352.96,30.2138,0.0700000000000002,0.2317,808674.419,30.152499999999996,30.053630000000005,30.00244,30.162423333333333,30.122072916666667
2016-11-01,30.3013,30.6775,30.7125,30.1875,367191.26,367191.26,30.2838,0.393699999999999,1.3,1282156.408,30.24176,30.128880000000002,30.033065,30.150756666666666,30.14644375
2016-11-02,30.5288,30.2838,30.6075,30.2225,256760.31,256760.31,30.6775,-0.393699999999999,-1.2834,892639.555,30.27502,30.17176,30.05363,30.135883333333332,30.161706249999998
2016-11-03,30.2663,30.5988,30.7038,30.205,405144.35,405144.35,30.2838,0.3150000000000013,1.0402,1412764.012,30.411539999999995,30.24439,30.087759999999996,30.143176666666665,30.175193749999995
2016-11-04,30.52,30.5637,30.765,30.5113,264479.74,264479.74,30.5988,-0.0350999999999999,-0.1147,925529.772,30.48152,30.306509999999996,30.121445,30.16155,30.18631875
2016-11-07,30.6075,30.6163,30.6687,30.52,215166.92,215166.92,30.5637,0.0525999999999982,0.1721,752624.552,30.548019999999998,30.35026,30.138510000000004,30.16213333333333,30.19962708333333
2016-11-08,30.7212,30.625,30.7825,30.52,286831.68,286831.68,30.6163,0.008700000000001,0.0284,1005144.719,30.53752,30.389639999999996,30.165635,30.166506666666667,30.206229166666663
2016-11-09,30.625,30.3713,30.6337,30.0388,688345.5,688345.5,30.625,-0.2536999999999985,-0.8284,2389583.084,30.555020000000003,30.415020000000005,30.183575,30.16767333333333,30.216789583333334
2016-11-10,30.555,30.5725,30.8,30.4938,352803.34,352803.34,30.3713,0.2012,0.6625,1235297.816,30.54976,30.480650000000004,30.219450000000002,30.165633333333332,30.235891666666664
2016-11-11,30.5813,30.6163,30.835,30.5025,523906.95,523906.95,30.5725,0.0437999999999974,0.1433,1836030.752,30.56028,30.5209,30.25795,30.16855,30.25590625
2016-11-14,30.555,30.5813,30.7388,30.52,683571.66,683571.66,30.6163,-0.0350000000000001,-0.1143,2393598.916,30.55328,30.550649999999997,30.302139999999998,30.185176666666667,30.272110416666663
2016-11-15,30.6075,30.59,30.6337,30.5375,286904.03,286904.03,30.5813,0.008700000000001,0.0284,1002698.055,30.546280000000003,30.5419,30.33539,30.202676666666665,30.289402083333332
