,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
653,601318.SH,20190425,77.4636,78.0514,76.3616,76.5912,78.0881,-1.4968999999999966,-1.9169,655769.28,5505578.22
654,601318.SH,20190424,79.0524,79.7871,76.7289,78.0881,79.034,-0.9459000000000088,-1.1968,812851.89,6916666.438
655,601318.SH,20190423,77.831,80.2462,77.6014,79.034,78.0238,1.0102000000000118,1.2947,678116.37,5833032.636
656,601318.SH,20190422,80.0993,80.8983,77.6014,78.0238,79.8973,-1.873500000000007,-2.3449,932115.2,8032960.471
657,601318.SH,20190419,78.3085,79.8973,77.3259,79.8973,77.4177,2.479600000000005,3.2029,789131.96,6768190.588
658,601318.SH,20190418,77.7759,78.0789,77.032,77.4177,77.583,-0.165300000000002,-0.2131,397287.04,3354513.849
659,601318.SH,20190417,77.9871,78.382,76.9585,77.583,78.0697,-0.486699999999999,-0.6234,631915.6,5350101.242
660,601318.SH,20190416,74.5891,78.1799,74.2953,78.0697,74.9932,3.076499999999996,4.1024,1036222.77,8642148.123
661,601318.SH,20190415,75.5167,77.032,74.9381,74.9932,73.8728,1.1204000000000036,1.5167,989953.02,8203396.924
662,601318.SH,20190412,73.7902,74.534,73.3769,73.8728,74.1208,-0.24800000000000466,-0.3346,526779.4,4235942.763
663,601318.SH,20190411,75.9024,76.7932,73.6157,74.1208,75.333,-1.2121999999999957,-1.6091,756628.85,6180144.016
664,601318.SH,20190410,74.2034,75.4065,73.1565,75.333,74.4789,0.8541000000000025,1.1468,783620.38,6347140.293
665,601318.SH,20190409,73.8361,75.3055,73.8085,74.4789,74.0106,0.4682999999999993,0.6327,601737.89,4887104.136
666,601318.SH,20190408,74.1116,75.5351,73.4871,74.0106,73.6524,0.3581999999999965,0.4863,916122.3,7448621.19
667,601318.SH,20190404,73.5422,74.3504,72.78,73.6524,73.3402,0.31220000000000425,0.4257,795626.03,6378852.748
668,601318.SH,20190403,72.0728,73.6065,71.9718,73.3402,72.5137,0.8264999999999958,1.1398,760219.8,6045909.504
669,601318.SH,20190402,72.1279,72.5504,71.6779,72.5137,72.183,0.3306999999999931,0.4581,771175.4,6059549.068
670,601318.SH,20190401,71.632,72.7616,71.1729,72.183,70.8055,1.377500000000012,1.9455,1168113.47,9182647.666
671,601318.SH,20190329,68.0504,70.8055,68.0504,70.8055,67.4076,3.397899999999993,5.0408,1429355.26,10870048.907
672,601318.SH,20190328,67.4076,67.9035,66.93,67.4076,68.1606,-0.7530000000000001,-1.1047,484208.75,3553347.624
673,601318.SH,20190327,67.2239,68.5372,66.7647,68.1606,66.7555,1.4051000000000045,2.1048,759817.76,5612313.473
674,601318.SH,20190326,67.0311,67.2515,66.2596,66.7555,66.3882,0.3673000000000002,0.5533,634474.72,4610495.784
675,601318.SH,20190325,67.4168,67.9494,66.2872,66.3882,68.6198,-2.2316000000000003,-3.2521,991052.4,7240888.365
676,601318.SH,20190322,69.5749,70.0341,68.0137,68.6198,69.6116,-0.9917999999999978,-1.4248,772004.28,5793145.97
677,601318.SH,20190321,70.7137,70.9433,69.428,69.6116,70.3004,-0.6888000000000005,-0.9798,846258.78,6432258.633
678,601318.SH,20190320,68.9321,71.1545,68.6474,70.3004,69.1984,1.1019999999999897,1.5925,1078439.1,8223832.015
679,601318.SH,20190319,69.5474,70.5759,68.8402,69.1984,68.877,0.32140000000001123,0.4666,1012096.56,7669753.047
680,601318.SH,20190318,68.3535,69.1892,67.4535,68.877,67.8208,1.0561999999999898,1.5573,1156392.1,8622875.43
681,601318.SH,20190315,67.1321,69.3361,67.1137,67.8208,66.8566,0.9642000000000053,1.4422,1255246.38,9342867.722
682,601318.SH,20190314,65.9107,67.2239,65.8464,66.8566,65.6994,1.1572000000000031,1.7614,1055970.33,7670039.178
683,601318.SH,20190313,65.5525,66.2137,64.5331,65.6994,63.5964,2.1029999999999944,3.3068,1405464.08,10026174.511
684,601318.SH,20190312,63.9178,65.13,63.3301,63.5964,63.1739,0.42249999999999943,0.6688,969219.01,6776280.865
685,601318.SH,20190311,63.1831,64.0005,62.6505,63.1739,63.0913,0.08260000000000645,0.1309,751857.65,5173828.938
686,601318.SH,20190308,63.0546,64.4688,62.678,63.0913,64.5515,-1.4602000000000075,-2.2621,913256.04,6295287.173
687,601318.SH,20190307,66.2596,66.2596,64.2852,64.5515,66.2688,-1.7172999999999945,-2.5914,1013473.08,7171432.249
688,601318.SH,20190306,66.48,66.5627,65.3045,66.2688,66.1862,0.08259999999999934,0.1248,784653.61,5640683.407
689,601318.SH,20190305,66.5627,66.8015,65.727,66.1862,66.6545,-0.4682999999999993,-0.7026,659680.35,4759711.07
690,601318.SH,20190304,67.0402,68.9688,66.3147,66.6545,66.48,0.17449999999999477,0.2625,1263275.04,9279004.181
691,601318.SH,20190301,64.9188,66.6729,64.5147,66.48,64.2943,2.185699999999997,3.3995,920751.83,6586194.402
692,601318.SH,20190228,64.2668,65.1576,63.7433,64.2943,64.2668,0.02750000000000341,0.0428,598889.7,4212441.293
693,601318.SH,20190227,64.5607,65.5984,63.3576,64.2668,64.2943,-0.02750000000000341,-0.0428,1017663.58,7169557.279
694,601318.SH,20190226,65.8556,66.6729,64.2117,64.2943,67.0402,-2.745899999999992,-4.0959,1555638.81,11039492.18
695,601318.SH,20190225,62.6505,67.0402,62.577,67.0402,61.5484,5.491799999999998,8.9227,2222382.4,15601216.19
696,601318.SH,20190222,60.024,61.5944,59.5097,61.5484,60.0515,1.4969000000000037,2.4927,762218.88,5022163.621
697,601318.SH,20190221,60.428,61.2362,59.776,60.0515,60.5015,-0.45000000000000284,-0.7438,543694.01,3588406.874
698,601318.SH,20190220,60.8872,60.9607,59.8678,60.5015,60.3178,0.18370000000000175,0.3046,393508.82,2592496.357
699,601318.SH,20190219,60.226,61.778,59.9505,60.3178,59.9597,0.3581000000000003,0.5972,785951.46,5198252.133
700,601318.SH,20190218,58.6832,60.0791,58.573,59.9597,58.0862,1.8735,3.2254,721361.06,4677674.823
701,601318.SH,20190215,59.5097,59.7025,58.0587,58.0862,59.7852,-1.6990000000000052,-2.8418,534011.48,3418044.695
702,601318.SH,20190214,59.5832,60.0607,59.4913,59.7852,59.7117,0.07350000000000279,0.1231,396202.77,2577578.444
703,601318.SH,20190213,59.3811,60.0607,58.8026,59.7117,59.023,0.6886999999999972,1.1668,578658.13,3743367.744
704,601318.SH,20190212,59.1423,59.1607,58.4903,59.023,59.1332,-0.11019999999999897,-0.1864,385193.06,2468628.211
705,601318.SH,20190211,57.7464,59.2434,57.7464,59.1332,58.0495,1.0837000000000003,1.8669,541815.51,3456061.479
706,601318.SH,20190201,58.3158,58.573,57.7189,58.0495,57.8383,0.21120000000000516,0.3652,437924.7,2771783.993
707,601318.SH,20190131,56.7546,58.0311,56.525,57.8383,56.2495,1.588799999999999,2.8246,692265.32,4336690.723
708,601318.SH,20190130,55.9097,56.8097,55.8179,56.2495,56.6169,-0.3674000000000035,-0.6489,310003.23,1904411.131
709,601318.SH,20190129,56.3689,56.8464,56.0016,56.6169,56.4975,0.11939999999999884,0.2113,395192.94,2428493.652
710,601318.SH,20190128,56.7546,57.3148,56.2036,56.4975,56.2862,0.21130000000000138,0.3754,581648.84,3603129.774
711,601318.SH,20190125,55.5607,56.7362,55.4965,56.2862,55.4965,0.7897000000000034,1.423,672459.11,4129885.331
712,601318.SH,20190124,54.7434,55.5791,54.3852,55.4965,54.6332,0.8632999999999953,1.5802,449406.18,2694967.118
713,601318.SH,20190123,54.9363,55.4689,54.5965,54.6332,55.1658,-0.5325999999999951,-0.9655,374932.63,2243882.42
714,601318.SH,20190122,55.6526,55.6893,54.8628,55.1658,55.8271,-0.6613000000000042,-1.1846,419507.61,2524729.521
715,601318.SH,20190121,55.0373,56.1209,54.9638,55.8271,55.0281,0.7989999999999995,1.452,559842.77,3395168.935
716,601318.SH,20190118,54.3944,55.1199,53.8985,55.0281,53.9352,1.0929000000000002,2.0263,561756.65,3350801.454
717,601318.SH,20190117,54.2291,54.9179,53.7791,53.9352,53.9444,-0.009199999999999875,-0.0171,535050.39,3168128.862
718,601318.SH,20190116,53.6506,54.1465,53.274,53.9444,53.8067,0.13770000000000238,0.2559,404111.83,2368178.488
719,601318.SH,20190115,52.5853,53.8985,52.4016,53.8067,52.4567,1.3500000000000014,2.5736,586264.87,3413728.308
720,601318.SH,20190114,53.0261,53.2189,52.2546,52.4567,53.3291,-0.872399999999999,-1.6359,475326.51,2723611.89
721,601318.SH,20190111,53.2648,53.5312,52.8057,53.3291,52.8057,0.5233999999999952,0.9912,457569.73,2650921.529
722,601318.SH,20190110,52.2271,53.0995,51.9332,52.8057,52.3006,0.5050999999999988,0.9658,673282.23,3858446.844
723,601318.SH,20190109,51.6118,52.8975,51.3914,52.3006,51.2445,1.0561000000000007,2.0609,819146.13,4673997.766
724,601318.SH,20190108,51.474,51.5108,50.6934,51.2445,51.7036,-0.4590999999999994,-0.8879,559920.92,3116381.576
725,601318.SH,20190107,52.4291,52.5026,51.3363,51.7036,51.97,-0.2663999999999973,-0.5126,765930.07,4326151.604
726,601318.SH,20190104,50.7669,52.3465,50.721,51.97,51.1343,0.8356999999999957,1.6343,1129855.85,6376773.583
727,601318.SH,20190103,50.6475,51.7312,50.5649,51.1343,50.6751,0.4592000000000027,0.9062,692711.24,3864646.451
728,601318.SH,20190102,51.4649,51.5934,50.4547,50.6751,51.52,-0.8449000000000026,-1.6399,825542.43,4573024.812
729,601318.SH,20181228,52.3465,52.5577,51.52,51.52,52.2546,-0.7346000000000004,-1.4058,914988.05,5177718.206
730,601318.SH,20181227,53.522,53.6138,52.2546,52.2546,52.622,-0.3673999999999964,-0.6982,751890.5,4329636.52
731,601318.SH,20181226,53.421,53.4944,52.5302,52.622,53.4577,-0.8357000000000028,-1.5633,397821.33,2293584.057
732,601318.SH,20181225,52.8424,53.9812,52.2363,53.4577,53.4944,-0.03669999999999618,-0.0686,664633.19,3837466.568
733,601318.SH,20181224,53.2648,53.5404,53.0353,53.4944,53.5771,-0.08270000000000266,-0.1544,358748.42,2084472.986
734,601318.SH,20181221,53.9536,54.0454,52.7597,53.5771,54.1832,-0.6060999999999979,-1.1186,739127.89,4287044.788
735,601318.SH,20181220,55.0556,55.2669,53.7975,54.1832,55.2118,-1.0285999999999973,-1.863,806955.79,4779472.466
736,601318.SH,20181219,56.0199,56.2587,54.9914,55.2118,55.8822,-0.6704000000000008,-1.1997,515538.16,3118190.766
737,601318.SH,20181218,55.9281,56.6444,55.5332,55.8822,56.2679,-0.38569999999999993,-0.6855,532302.06,3244689.448
738,601318.SH,20181217,56.8189,57.1771,56.0475,56.2679,56.8832,-0.6153000000000048,-1.0817,712131.38,4372511.195
739,601318.SH,20181214,57.7648,57.8015,56.6903,56.8832,58.0403,-1.1570999999999998,-1.9936,750755.54,4664205.074
740,601318.SH,20181213,57.5811,58.3158,57.3056,58.0403,57.3607,0.6796000000000006,1.1848,782754.17,4938706.633
741,601318.SH,20181212,57.673,57.7005,56.975,57.3607,57.0944,0.2663000000000011,0.4664,387392.32,2415069.23
742,601318.SH,20181211,57.1036,57.4617,56.773,57.0944,57.1036,-0.009199999999999875,-0.0161,419948.88,2605529.172
743,601318.SH,20181210,57.3975,57.5628,56.773,57.1036,57.8566,-0.7530000000000001,-1.3015,494650.59,3075386.868
744,601318.SH,20181207,58.1505,58.3434,57.8383,57.8566,57.8566,0.0,0.0,270297.17,1709048.611
745,601318.SH,20181206,58.4628,58.6648,57.7556,57.8566,59.0046,-1.1480000000000032,-1.9456,585865.13,3710782.048
746,601318.SH,20181205,58.8209,59.326,58.7566,59.0046,59.5923,-0.5876999999999981,-0.9862,450207.12,2892938.998
747,601318.SH,20181204,59.6474,59.7668,58.9219,59.5923,59.6842,-0.09189999999999543,-0.154,562473.14,3640115.194
748,601318.SH,20181203,59.877,60.6576,59.4821,59.6842,58.3066,1.377599999999994,2.3627,1121943.02,7325910.545
749,601318.SH,20181130,57.9117,58.4536,57.7648,58.3066,57.9026,0.40400000000000347,0.6977,349171.09,2212885.743
750,601318.SH,20181129,59.0505,59.124,57.8566,57.9026,58.5638,-0.6612000000000009,-1.129,386653.89,2460470.881
751,601318.SH,20181128,57.9668,58.7383,57.8658,58.5638,57.9577,0.6060999999999979,1.0458,411690.32,2616356.268
752,601318.SH,20181127,58.1413,58.6648,57.774,57.9577,58.0403,-0.08259999999999934,-0.1423,375596.84,2377828.917
753,601318.SH,20181126,57.8566,58.6556,57.673,58.0403,57.526,0.5142999999999986,0.894,369989.07,2340406.531
754,601318.SH,20181123,57.9944,58.3985,57.4158,57.526,57.9852,-0.4591999999999956,-0.7919,372335.17,2339115.029
755,601318.SH,20181122,58.9403,58.9587,57.6913,57.9852,58.7842,-0.7989999999999995,-1.3592,443683.53,2803339.519
756,601318.SH,20181121,58.3434,58.9036,58.3434,58.7842,58.8668,-0.08259999999999934,-0.1403,385249.31,2459066.015
757,601318.SH,20181120,59.6934,60.0974,58.6923,58.8668,60.3546,-1.4878,-2.4651,591762.58,3810974.173
758,601318.SH,20181119,59.9229,60.7954,59.5097,60.3546,59.9229,0.4316999999999993,0.7204,507628.91,3324370.817
759,601318.SH,20181116,59.6934,60.9699,59.4087,59.9229,59.7852,0.13769999999999527,0.2303,619879.08,4063786.057
760,601318.SH,20181115,58.775,59.8219,58.5638,59.7852,58.7291,1.0561000000000007,1.7983,500579.86,3231462.676
761,601318.SH,20181114,59.7393,59.776,58.4077,58.7291,59.7025,-0.973399999999998,-1.6304,573814.07,3680152.361
762,601318.SH,20181113,58.573,60.2168,58.3158,59.7025,59.3811,0.321399999999997,0.5412,520997.95,3362080.743
763,601318.SH,20181112,59.1423,59.8219,58.5454,59.3811,59.3444,0.036700000000003286,0.0618,458511.64,2956910.272
764,601318.SH,20181109,60.3821,60.5934,59.124,59.3444,60.8872,-1.5427999999999997,-2.5339,544689.7,3544347.557
765,601318.SH,20181108,61.4658,61.6862,60.6117,60.8872,60.7219,0.165300000000002,0.2722,504946.17,3364558.944
766,601318.SH,20181107,61.4291,61.8423,60.5199,60.7219,61.3464,-0.6245000000000047,-1.018,510658.43,3393066.441
767,601318.SH,20181106,60.7954,61.3464,60.428,61.3464,61.1444,0.2020000000000053,0.3304,385081.85,2553280.683
768,601318.SH,20181105,61.0709,61.576,60.3362,61.1444,61.8515,-0.7071000000000041,-1.1432,547131.86,3634382.539
769,601318.SH,20181102,61.4566,61.8515,60.1985,61.8515,59.0505,2.801000000000002,4.7434,1173949.37,7821171.766
770,601318.SH,20181101,58.977,60.1525,58.8485,59.0505,58.4352,0.6152999999999977,1.053,689871.09,4463737.106
771,601318.SH,20181031,57.8658,58.7291,57.0852,58.4352,57.673,0.7622,1.3216,782835.25,4948893.033
772,601318.SH,20181030,55.1016,59.3536,54.6424,57.673,56.9383,0.7347000000000037,1.2903,1269208.29,7969650.42
773,601318.SH,20181029,60.4923,60.6025,56.8464,56.9383,60.1893,-3.2510000000000048,-5.4013,1216419.42,7666491.234
774,601318.SH,20181026,60.8872,61.3189,59.124,60.1893,61.2178,-1.028499999999994,-1.6801,797411.04,5212551.961
775,601318.SH,20181025,58.9587,61.2178,58.9587,61.2178,60.8413,0.37650000000000006,0.6188,736202.53,4816111.122
776,601318.SH,20181024,60.4097,62.3107,60.2076,60.8413,60.1617,0.6795999999999935,1.1296,810632.05,5398315.014
777,601318.SH,20181023,62.4484,62.7423,59.5832,60.1617,62.3842,-2.2224999999999966,-3.5626,1172134.46,7814653.832
778,601318.SH,20181022,60.6209,63.7525,60.2627,62.3842,60.2627,2.1214999999999975,3.5204,1616881.74,10961620.26
779,601318.SH,20181019,56.9291,60.7036,56.8281,60.2627,57.3515,2.911200000000001,5.0761,1138815.16,7314843.218
780,601318.SH,20181018,58.3066,58.3342,57.1679,57.3515,58.9219,-1.5703999999999994,-2.6652,603019.84,3788520.129
781,601318.SH,20181017,59.8495,59.9872,57.3148,58.9219,58.775,0.14690000000000225,0.2499,761401.92,4861851.849
782,601318.SH,20181016,58.1781,59.8587,58.1597,58.775,58.0403,0.7346999999999966,1.2658,584034.99,3761333.74
783,601318.SH,20181015,58.6832,59.1791,57.9393,58.0403,58.6556,-0.6152999999999977,-1.049,539743.26,3437483.874
784,601318.SH,20181012,57.3975,59.0046,57.2138,58.6556,56.8005,1.8551000000000002,3.266,774616.71,4901391.148
785,601318.SH,20181011,57.0301,58.0403,56.3689,56.8005,59.3719,-2.571399999999997,-4.331,1145327.45,7141404.125
786,601318.SH,20181010,59.776,60.226,58.9587,59.3719,59.6934,-0.32150000000000034,-0.5386,582799.02,3780647.727
787,601318.SH,20181009,59.3536,60.0423,59.0781,59.6934,59.4913,0.2020999999999944,0.3397,486319.08,3155728.031
788,601318.SH,20181008,61.3464,61.3831,59.427,59.4913,62.9076,-3.4162999999999997,-5.4307,1128444.71,7402497.487
789,601318.SH,20180928,61.9893,63.4586,61.9342,62.9076,61.7137,1.1938999999999993,1.9346,739523.87,5052835.863
790,601318.SH,20180927,62.2005,62.2188,61.4015,61.7137,62.4117,-0.6980000000000004,-1.1184,623574.33,4190581.061
791,601318.SH,20180926,61.7413,63.3668,61.374,62.4117,61.7046,0.7071000000000041,1.1459,908525.51,6186718.195
792,601318.SH,20180925,61.4382,62.2005,61.0525,61.7046,61.9801,-0.27550000000000097,-0.4445,578103.89,3878568.209
793,601318.SH,20180921,59.9505,61.9893,59.6658,61.9801,59.5097,2.470399999999998,4.1513,810431.09,5386807.332
794,601318.SH,20180920,59.877,60.2076,59.3352,59.5097,59.8311,-0.321399999999997,-0.5372,418923.78,2721332.741
795,601318.SH,20180919,58.8577,60.428,58.6005,59.8311,58.8852,0.9459000000000017,1.6063,834705.07,5411874.454
796,601318.SH,20180918,57.076,59.0505,57.0301,58.8852,57.4066,1.4786000000000001,2.5757,635569.33,4033820.471
797,601318.SH,20180917,57.2138,58.0219,57.1679,57.4066,58.1321,-0.7255000000000038,-1.248,269595.87,1686602.295
798,601318.SH,20180914,57.4617,58.5546,57.324,58.1321,57.3056,0.8265000000000029,1.4423,558370.41,3529776.705
799,601318.SH,20180913,56.7362,57.3056,56.0291,57.3056,55.6526,1.6529999999999987,2.9702,538846.97,3328513.24
800,601318.SH,20180912,56.3046,56.4424,55.3587,55.6526,56.6444,-0.9917999999999978,-1.7509,435460.28,2644081.431
801,601318.SH,20180911,56.9383,57.4709,56.2495,56.6444,56.9658,-0.3214000000000041,-0.5642,347070.57,2147831.325
802,601318.SH,20180910,57.4893,57.7373,56.5709,56.9658,57.6546,-0.6888000000000005,-1.1947,323390.01,2008532.822
803,601318.SH,20180907,56.8281,58.3158,56.5709,57.6546,56.3138,1.3408000000000015,2.3809,494711.65,3105514.558
804,601318.SH,20180906,57.0301,57.4158,56.0291,56.3138,57.1036,-0.7897999999999996,-1.3831,457426.29,2827435.706
