,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
31,JD,20190722,30.66,30.91,30.95,30.48,30.99,-1.06,6677649,204904968.38,30.69
32,JD,20190719,30.99,30.81,31.29,30.81,30.58,1.34,8153817,253240498.23,31.06
33,JD,20190718,30.58,30.5,30.6,30.16,30.71,-0.42,5784094,175900678.4,30.41
34,JD,20190717,30.71,30.84,31.08,30.6,30.72,-0.03,5349020,164747141.49,30.8
35,JD,20190716,30.72,31.0,31.1,30.52,31.03,-1.0,9375527,288573995.79,30.78
36,JD,20190715,31.03,31.36,31.67,31.0,31.08,-0.16,7110149,221830228.34,31.2
37,JD,20190712,31.08,30.69,31.41,30.6,30.51,1.87,11766899,366296446.9,31.13
38,JD,20190711,30.51,30.79,30.97,30.32,30.71,-0.65,7386211,225984855.58,30.6
39,JD,20190710,30.71,30.99,31.1,30.16,30.75,-0.13,13297309,405892365.54,30.52
40,JD,20190709,30.75,30.38,30.81,30.29,30.57,0.59,7317715,223921347.23,30.6
41,JD,20190708,30.57,30.4,30.66,30.23,31.03,-1.48,8808828,268549497.98,30.49
42,JD,20190705,31.03,30.97,31.2,30.72,31.5,-1.49,7070809,218885434.13,30.96
43,JD,20190703,31.5,31.4,31.54,30.82,31.45,0.16,6008801,187330349.93,31.18
44,JD,20190702,31.45,31.06,31.96,31.04,31.19,0.83,13148696,414895176.41,31.55
45,JD,20190701,31.19,31.36,31.99,30.9,30.29,2.97,17367067,544188430.38,31.33
46,JD,20190628,30.29,30.29,30.49,30.03,30.29,0.0,10410083,315406807.98,30.3
47,JD,20190627,30.29,30.25,30.68,30.17,30.14,0.5,12985344,395177805.79,30.43
48,JD,20190626,30.14,28.91,30.32,28.85,28.5,5.75,23418817,697199376.12,29.77
49,JD,20190625,28.5,28.69,28.71,28.07,28.91,-1.42,11002641,311729025.34,28.33
50,JD,20190624,28.91,29.19,29.27,28.89,29.06,-0.52,6070817,176033689.66,29.0
51,JD,20190621,29.06,28.97,29.55,28.85,29.12,-0.21,13397489,391593839.44,29.23
52,JD,20190620,29.12,29.25,29.8,28.82,28.66,1.6,14674391,429736693.6,29.28
53,JD,20190619,28.66,28.26,28.88,27.89,28.26,1.42,10938157,311320719.78,28.46
54,JD,20190618,28.26,27.6,28.88,27.47,27.33,3.4,19526192,553307864.37,28.34
55,JD,20190617,27.33,27.1,27.49,26.82,27.05,1.04,6570250,179198319.12,27.27
56,JD,20190614,27.05,27.11,27.12,26.64,27.54,-1.78,9140223,246044748.91,26.92
57,JD,20190613,27.54,27.33,27.87,27.26,27.24,1.1,6933508,190455116.82,27.47
58,JD,20190612,27.24,27.47,27.49,27.01,28.0,-2.71,8873707,241096844.45,27.17
59,JD,20190611,28.0,27.87,28.46,27.61,27.26,2.71,15134731,424568524.58,28.05
60,JD,20190610,27.26,27.44,27.76,27.13,26.8,1.72,14453016,396531472.77,27.44
61,JD,20190607,26.8,26.36,27.16,26.35,26.24,2.13,9518317,255571523.02,26.85
62,JD,20190606,26.24,26.18,26.38,25.81,26.19,0.19,7660508,199884133.78,26.09
63,JD,20190605,26.19,26.95,26.99,25.67,26.8,-2.28,11011590,287552278.65,26.11
