symbol,trade_date,pct_change,sz_max_10,diff,dea,jx_days_ud60,jx_dg_120,jx_dg_60,jx_dg_20,jx_dg_10,jx_dg_5,jx_zs_5,jx_zs_10,jx_zs_20,jx_zs_60,pct_fl_1_3,pct_fl_3_10,pct_fl_20_60,sz_jt_20
000002,2020-07-02,1.21,10.4573,0.26578,0.01409,0,-0.0618102,0.0729349,0.142888,0.636594,1.37013,5,5,2,2,1.2871,2.25161,1.34144,1
000002,2020-07-01,8.52,11.7907,0.107277,-0.0488326,0,-0.0565012,0.101243,0.210508,0.623709,1.18628,4,4,1,1,3.23656,1.84253,1.25673,1
000002,2020-02-26,2.99,8.15035,-0.0354866,-0.119423,0,0.0603053,0.0527555,0.0998628,0.222226,0.200823,1,1,2,1,1.65201,1.33953,1.22896,1
000002,2019-12-17,3.82,6.35796,0.56602,0.373907,0,0.0669926,0.145198,0.431109,0.558888,1.14263,5,5,21,19,0.959599,2.57019,1.47316,0
000002,2019-12-16,5.22,8.5082,0.411441,0.325879,0,0.0435862,0.0898266,0.352861,0.322517,0.585284,4,4,20,18,1.90062,2.01621,1.40501,1
000002,2019-12-13,0.61,14.171,0.309975,0.304488,0,0.0149382,0.0148607,0.194516,0.104254,0.133976,3,3,19,17,1.8481,1.53686,1.25716,2
000002,2019-11-25,6.9,0.0,0.146437,-0.0173713,0,0.0557775,0.0688127,0.215998,0.553083,1.06836,7,5,5,3,2.59198,1.83515,0.951034,1
000002,2019-11-05,0.08,0.0,0.014356,0.031066,0,-0.00200994,0.0375004,0.0629344,-0.116875,0.102357,3,2,0,3,1.69885,1.64359,1.4392,0
000002,2019-07-23,-4.1,0.311163,0.625242,0.534722,0,0.0904248,0.0159435,0.242105,0.189337,-0.0263267,0,0,32,16,1.2372,1.70089,1.14138,0
000002,2019-04-01,5.11,5.07559,0.7175,0.50445,0,0.170133,0.359518,0.276215,0.615056,1.75817,4,2,4,57,1.44996,1.489,1.48371,0
000004,2023-07-19,-9.79,2.39044,1.66917,1.1988,0,0.423775,0.672815,0.761922,1.19558,2.46688,5,5,11,65,1.5976,1.70858,3.81795,0
000004,2023-07-07,-5.14,31.0954,0.906177,0.790533,0,0.298267,0.556473,0.318035,0.76598,1.2424,3,3,3,57,1.90548,1.78858,2.63463,2
000004,2023-07-06,10.02,24.3575,0.844407,0.761623,0,0.339975,0.624022,0.632031,0.83665,1.40201,2,2,2,56,0.515531,1.89791,2.30206,2
000004,2023-07-05,10.01,36.8162,0.659612,0.740927,0,0.283142,0.475116,0.459229,0.233313,0.850381,1,1,1,55,1.24762,2.3773,2.24809,2
000004,2023-07-04,6.94,50.5071,0.580116,0.761255,0,0.225826,0.38218,0.18325,-0.0460855,0.786813,0,0,0,54,1.62524,2.33951,2.10548,2
000004,2023-06-29,5.61,11.945,0.785691,0.875768,0,0.285195,0.478291,0.509853,0.611758,0.240086,2,2,2,51,4.42299,1.97701,2.07089,2
000004,2023-06-05,4.97,9.06593,0.969448,0.677559,0,0.185307,0.431431,0.940065,1.52286,0.978266,13,13,13,36,0.622042,1.51411,1.62802,2
000004,2023-06-01,3.44,14.7399,0.836299,0.534295,0,0.168724,0.356122,0.700122,1.42795,1.4627,11,11,11,34,1.66713,2.17493,1.67819,2
000004,2023-05-31,-4.7,18.6846,0.764069,0.458794,0,0.149066,0.311965,0.726437,1.46444,1.60568,10,10,10,33,2.91724,2.02009,1.64556,2
000004,2023-05-30,5.01,13.1054,0.707598,0.382476,0,0.185173,0.374029,0.901799,1.84198,2.32468,9,9,9,32,0.321592,1.5296,1.52497,1
000004,2023-05-29,5.03,18.7734,0.558029,0.301195,0,0.158426,0.321257,0.815008,1.30241,2.14256,8,8,8,31,1.24363,2.1376,1.63471,2
000004,2023-05-26,5.03,24.7447,0.427226,0.236987,0,0.129078,0.282339,0.645106,1.0611,1.86641,7,7,7,30,1.18401,1.88705,1.59844,2
000004,2023-05-25,5.03,31.0231,0.319224,0.189427,0,0.0805601,0.206524,0.34621,0.788688,1.38689,6,6,6,29,1.68071,1.7639,1.64053,2
