,ts_code,symbol,name,area,industry,market,exchange,list_status,list_date,is_hs
227,300726.SZ,300726,宏达电子,湖南,元器件,创业板,SZSE,L,20171121,S
228,300735.SZ,300735,光弘科技,广东,通信设备,创业板,SZSE,L,20171229,S
229,300737.SZ,300737,科顺股份,广东,其他建材,创业板,SZSE,L,20180125,S
230,300738.SZ,300738,奥飞数据,广东,电信运营,创业板,SZSE,L,20180119,S
231,300740.SZ,300740,水羊股份,湖南,日用化工,创业板,SZSE,L,20180208,S
232,300741.SZ,300741,华宝股份,西藏,食品,创业板,SZSE,L,20180301,S
233,300747.SZ,300747,锐科激光,湖北,元器件,创业板,SZSE,L,20180625,S
234,300748.SZ,300748,金力永磁,江西,元器件,创业板,SZSE,L,20180921,S
235,300750.SZ,300750,宁德时代,福建,电气设备,创业板,SZSE,L,20180611,S
236,300751.SZ,300751,迈为股份,江苏,专用机械,创业板,SZSE,L,20181109,S
237,300755.SZ,300755,华致酒行,云南,其他商业,创业板,SZSE,L,20190129,S
238,300759.SZ,300759,康龙化成,北京,化学制药,创业板,SZSE,L,20190128,S
239,300760.SZ,300760,迈瑞医疗,深圳,医疗保健,创业板,SZSE,L,20181016,S
240,300761.SZ,300761,立华股份,江苏,农业综合,创业板,SZSE,L,20190218,S
241,300762.SZ,300762,上海瀚讯,上海,通信设备,创业板,SZSE,L,20190314,S
242,300763.SZ,300763,锦浪科技,浙江,电气设备,创业板,SZSE,L,20190319,S
243,300765.SZ,300765,新诺威,河北,食品,创业板,SZSE,L,20190322,S
244,300767.SZ,300767,震安科技,云南,橡胶,创业板,SZSE,L,20190329,S
245,300768.SZ,300768,迪普科技,浙江,软件服务,创业板,SZSE,L,20190412,S
246,300769.SZ,300769,德方纳米,深圳,化工原料,创业板,SZSE,L,20190415,S
247,300770.SZ,300770,新媒股份,广东,影视音像,创业板,SZSE,L,20190419,S
248,300772.SZ,300772,运达股份,浙江,电气设备,创业板,SZSE,L,20190426,S
249,300773.SZ,300773,拉卡拉,北京,软件服务,创业板,SZSE,L,20190425,S
250,300775.SZ,300775,三角防务,陕西,航空,创业板,SZSE,L,20190521,S
251,300776.SZ,300776,帝尔激光,湖北,专用机械,创业板,SZSE,L,20190517,S
252,300777.SZ,300777,中简科技,江苏,化纤,创业板,SZSE,L,20190516,S
